,Age,Gender,Department,Designation,MonthlySalary,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,DistanceFromHome,LeavesTaken,LeftCompany,DistanceGroup,SalaryGroup,TrainingGroup
28,30,Other,IT,Software Engineer,46518,7,2,1,6,1,2,4,13.8,26,1,5–15 km,41K-50K,6-10
29,38,Male,HR,HR Executive,69776,1,1,2,21,1,5,4,27.6,8,1,15–30 km,61K-70K,21-25
30,40,Female,IT,Software Engineer,74264,2,0,1,15,1,3,2,29.8,7,1,15–30 km,71K-80K,11-15
31,45,Male,Accounts,Accounts Officer,118567,2,0,2,29,0,1,2,39.9,15,1,30+km,111K-120K,26-30
32,47,Other,HR,HR Executive,53272,10,4,4,0,1,5,2,5.6,14,0,5–15 km,51K-60K,0-5
33,37,Male,Sales,Sales Associate,100355,8,3,4,19,0,1,4,11.1,7,0,5–15 km,101K-110K,16-20
34,55,Other,Accounts,Accounts Officer,110817,3,1,1,28,0,2,3,10.3,27,1,5–15 km,111K-120K,26-30
35,27,Other,IT,Software Engineer,96802,7,5,2,19,0,3,1,29.9,9,0,15–30 km,91K-100K,16-20
36,48,Male,Admin,Office Assistant,90583,7,7,5,20,0,5,3,48.9,29,0,30+km,91K-100K,16-20
37,49,Male,IT,Software Engineer,43221,2,1,2,43,1,4,1,41.2,17,1,30+km,41K-50K,41-45
38,39,Male,Admin,Office Assistant,27669,2,2,4,12,1,5,1,19.5,22,1,15–30 km,15K-30K,11-15
39,24,Female,Accounts,Accounts Officer,29084,9,3,3,24,0,1,1,8.8,22,0,5–15 km,15K-30K,21-25
40,57,Male,IT,Software Engineer,99377,1,0,5,22,1,5,2,23.9,4,0,15–30 km,91K-100K,21-25
41,31,Male,Accounts,Accounts Officer,71648,4,1,3,2,1,2,2,2.6,2,1,0–5 km,71K-80K,0-5
42,59,Male,Admin,Office Assistant,69962,6,3,2,33,1,3,4,27.6,23,0,15–30 km,61K-70K,31-35
43,41,Other,Admin,Office Assistant,102474,2,1,2,22,1,5,2,49.6,5,0,30+km,101K-110K,21-25
44,23,Other,Accounts,Accounts Officer,72921,6,4,2,53,1,3,4,45.7,19,0,30+km,71K-80K,51-55
45,35,Male,Sales,Sales Associate,113899,5,4,2,45,0,1,1,4.5,27,1,0–5 km,111K-120K,41-45
46,51,Male,Sales,Sales Associate,72381,3,2,2,26,1,3,2,38.6,26,0,30+km,71K-80K,26-30
47,52,Male,Admin,Office Assistant,38942,3,1,3,32,1,4,2,47.5,30,1,30+km,31K-40K,31-35
48,37,Male,Accounts,Accounts Officer,112705,7,7,2,5,0,2,4,10.7,0,1,5–15 km,111K-120K,0-5
49,25,Female,Sales,Sales Associate,47957,3,1,5,46,1,3,4,27.0,28,0,15–30 km,41K-50K,46-50
50,44,Male,Accounts,Accounts Officer,23895,4,4,4,11,1,1,4,24.4,23,0,15–30 km,15K-30K,11-15
51,60,Other,Accounts,Accounts Officer,96542,5,2,5,45,0,1,4,49.0,16,0,30+km,91K-100K,41-45
52,48,Female,HR,HR Executive,87183,7,4,2,37,1,2,2,12.6,5,1,5–15 km,81K-90K,36-40
53,28,Other,Sales,Sales Associate,118049,4,1,1,49,0,5,1,38.0,4,0,30+km,111K-120K,46-50
54,22,Male,Accounts,Accounts Officer,56821,10,5,2,6,1,1,4,22.0,4,1,15–30 km,51K-60K,6-10
55,41,Other,Sales,Sales Associate,51852,8,1,5,57,0,5,3,16.7,28,0,15–30 km,51K-60K,56-60
56,32,Other,Accounts,Accounts Officer,15461,4,0,3,40,0,5,1,23.4,6,0,15–30 km,15K-30K,36-40
57,28,Other,Admin,Office Assistant,44878,6,0,3,33,0,2,2,9.7,20,0,5–15 km,41K-50K,31-35
58,48,Female,HR,HR Executive,116173,6,2,2,58,0,2,1,11.8,15,1,5–15 km,111K-120K,56-60
59,30,Other,Sales,Sales Associate,94139,9,0,1,50,1,3,2,30.0,10,1,15–30 km,91K-100K,46-50
60,60,Male,Accounts,Accounts Officer,106402,7,3,4,47,1,2,2,3.0,5,0,0–5 km,101K-110K,46-50
61,42,Female,Sales,Sales Associate,97585,4,3,2,36,0,3,2,48.1,10,0,30+km,91K-100K,36-40
62,29,Male,IT,Software Engineer,49640,7,7,1,26,0,1,3,38.3,13,1,30+km,41K-50K,26-30
63,29,Other,HR,HR Executive,97015,1,1,4,54,0,1,1,12.1,29,0,5–15 km,91K-100K,51-55
64,40,Female,HR,HR Executive,22154,6,1,3,13,1,2,4,29.8,15,0,15–30 km,15K-30K,11-15
65,29,Other,IT,Software Engineer,21153,6,4,1,41,1,5,1,12.1,25,1,5–15 km,15K-30K,41-45
66,29,Other,IT,Software Engineer,19506,2,0,1,51,0,3,2,35.9,10,1,30+km,15K-30K,51-55
67,53,Other,Accounts,Accounts Officer,116642,10,0,2,14,1,1,1,40.3,10,1,30+km,111K-120K,11-15
68,32,Other,Admin,Office Assistant,46403,9,5,2,43,0,4,1,46.5,3,0,30+km,41K-50K,41-45
69,43,Female,Admin,Office Assistant,67006,2,0,4,56,1,1,4,32.6,25,0,30+km,61K-70K,56-60
70,43,Female,Accounts,Accounts Officer,21208,9,3,4,35,0,5,1,41.3,0,0,30+km,15K-30K,31-35
71,25,Other,HR,HR Executive,108228,10,1,3,19,0,2,3,10.9,15,0,5–15 km,101K-110K,16-20
72,45,Other,IT,Software Engineer,86816,6,6,4,47,1,1,1,33.9,14,1,30+km,81K-90K,46-50
73,27,Female,Sales,Sales Associate,65026,9,2,3,37,0,3,1,34.9,23,0,30+km,61K-70K,36-40
74,28,Female,Sales,Sales Associate,119184,4,4,5,20,1,5,1,11.7,3,1,5–15 km,111K-120K,16-20
75,48,Other,Sales,Sales Associate,21381,7,0,3,11,0,4,4,10.1,28,1,5–15 km,15K-30K,11-15
76,43,Male,HR,HR Executive,68137,9,2,2,13,1,1,3,2.5,28,1,0–5 km,61K-70K,11-15
77,43,Female,Sales,Sales Associate,40521,8,5,1,45,0,5,3,18.5,4,0,15–30 km,41K-50K,41-45
78,40,Male,Admin,Office Assistant,74500,4,3,5,33,1,4,1,48.4,29,1,30+km,71K-80K,31-35
79,57,Female,HR,HR Executive,112977,9,0,2,10,1,2,3,22.5,19,0,15–30 km,111K-120K,6-10
80,55,Other,IT,Software Engineer,91334,2,0,5,6,1,5,2,1.8,2,0,0–5 km,91K-100K,6-10
81,50,Other,HR,HR Executive,71871,1,1,2,28,1,2,1,27.4,29,0,15–30 km,71K-80K,26-30
82,38,Male,Admin,Office Assistant,48713,8,8,4,23,1,1,1,2.7,28,1,0–5 km,41K-50K,21-25
83,25,Female,HR,HR Executive,49220,5,1,4,4,0,4,4,26.6,13,1,15–30 km,41K-50K,0-5
84,34,Male,Accounts,Accounts Officer,37480,6,0,4,0,1,3,1,21.3,28,1,15–30 km,31K-40K,0-5
85,42,Male,Admin,Office Assistant,23412,2,0,2,22,0,1,4,22.5,25,1,15–30 km,15K-30K,21-25
86,23,Female,HR,HR Executive,25300,6,1,5,43,1,3,4,13.9,24,1,5–15 km,15K-30K,41-45
87,54,Other,Admin,Office Assistant,118084,4,4,1,52,0,4,3,19.2,24,0,15–30 km,111K-120K,51-55
88,50,Male,Admin,Office Assistant,114383,2,2,5,59,1,4,1,8.8,28,1,5–15 km,111K-120K,56-60
89,29,Female,Accounts,Accounts Officer,29970,4,2,3,18,1,4,1,42.2,15,1,30+km,15K-30K,16-20
90,24,Male,Accounts,Accounts Officer,83004,5,5,1,56,0,5,1,25.5,4,1,15–30 km,81K-90K,56-60
91,23,Other,Sales,Sales Associate,99455,8,5,1,1,0,2,3,32.8,6,1,30+km,91K-100K,0-5
92,44,Male,HR,HR Executive,39400,7,5,3,60,1,4,1,4.0,22,1,0–5 km,31K-40K,56-60
93,53,Male,Accounts,Accounts Officer,99322,5,5,1,30,1,4,2,30.2,6,1,30+km,91K-100K,26-30
94,40,Female,HR,HR Executive,95160,2,0,5,14,1,5,4,42.1,6,0,30+km,91K-100K,11-15
95,53,Female,IT,Software Engineer,91711,5,4,3,49,0,3,3,22.4,5,0,15–30 km,91K-100K,46-50
96,45,Male,IT,Software Engineer,26387,7,2,2,19,1,1,3,1.1,24,1,0–5 km,15K-30K,16-20
97,45,Other,Admin,Office Assistant,15283,1,1,3,46,1,5,3,25.1,12,0,15–30 km,15K-30K,46-50
98,43,Male,Admin,Office Assistant,99399,2,0,2,26,0,1,3,10.7,27,1,5–15 km,91K-100K,26-30
99,39,Female,HR,HR Executive,66269,6,4,2,24,1,2,2,35.4,21,1,30+km,61K-70K,21-25
100,26,Male,Admin,Office Assistant,24680,4,1,2,5,0,1,4,5.2,16,1,5–15 km,15K-30K,0-5
101,23,Other,Sales,Sales Associate,34362,2,1,2,50,1,4,2,4.7,5,0,0–5 km,31K-40K,46-50
102,59,Female,Accounts,Accounts Officer,28751,5,5,1,35,1,2,2,7.3,19,1,5–15 km,15K-30K,31-35
103,59,Male,Sales,Sales Associate,67080,1,0,2,17,1,1,4,46.6,16,1,30+km,61K-70K,16-20
104,33,Female,HR,HR Executive,119203,7,3,3,54,1,1,3,36.5,14,0,30+km,111K-120K,51-55
105,38,Female,HR,HR Executive,104862,9,7,5,44,1,3,4,10.6,7,0,5–15 km,101K-110K,41-45
106,54,Female,Admin,Office Assistant,115498,4,4,5,17,0,4,4,42.5,13,0,30+km,111K-120K,16-20
107,49,Female,HR,HR Executive,63601,3,3,3,55,1,2,4,33.6,26,0,30+km,61K-70K,51-55
108,24,Male,IT,Software Engineer,91036,3,1,3,19,0,4,2,19.6,7,0,15–30 km,91K-100K,16-20
109,56,Male,HR,HR Executive,29193,6,5,1,43,1,5,4,5.5,24,1,5–15 km,15K-30K,41-45
110,48,Male,HR,HR Executive,93859,9,8,2,4,0,1,2,43.6,15,1,30+km,91K-100K,0-5
111,43,Other,HR,HR Executive,49062,3,2,2,35,0,4,4,9.4,12,0,5–15 km,41K-50K,31-35
112,37,Female,HR,HR Executive,66858,7,7,1,58,0,3,3,14.6,23,0,5–15 km,61K-70K,56-60
113,36,Male,IT,Software Engineer,88041,3,1,2,43,1,3,1,31.7,23,1,30+km,81K-90K,41-45
114,50,Male,Accounts,Accounts Officer,48325,2,1,4,13,1,3,4,16.7,6,0,15–30 km,41K-50K,11-15
115,56,Female,Sales,Sales Associate,96534,6,4,2,54,1,1,1,15.3,30,1,15–30 km,91K-100K,51-55
116,54,Female,Sales,Sales Associate,61770,3,0,3,15,0,2,4,15.7,27,0,15–30 km,61K-70K,11-15
117,32,Male,Accounts,Accounts Officer,65558,8,3,4,3,0,4,3,48.7,14,0,30+km,61K-70K,0-5
118,31,Male,Accounts,Accounts Officer,54715,3,1,2,28,1,4,2,3.4,18,0,0–5 km,51K-60K,26-30
119,44,Male,Admin,Office Assistant,70462,8,7,5,27,0,5,1,39.2,25,1,30+km,71K-80K,26-30
120,33,Other,HR,HR Executive,44695,3,2,4,51,1,1,1,35.0,19,0,30+km,41K-50K,51-55
121,28,Male,IT,Software Engineer,32696,8,3,4,5,1,5,2,8.3,9,0,5–15 km,31K-40K,0-5
122,46,Other,HR,HR Executive,107336,3,1,5,50,1,4,4,31.8,0,0,30+km,101K-110K,46-50
123,24,Male,Sales,Sales Associate,66929,3,2,3,55,1,1,3,24.3,4,1,15–30 km,61K-70K,51-55
124,24,Other,IT,Software Engineer,89485,9,5,4,38,0,1,1,44.8,5,0,30+km,81K-90K,36-40
125,36,Other,Admin,Office Assistant,49372,6,0,3,29,0,4,1,38.7,15,0,30+km,41K-50K,26-30
126,38,Female,Admin,Office Assistant,70690,6,1,4,56,0,2,3,41.6,20,0,30+km,71K-80K,56-60
127,28,Male,Admin,Office Assistant,82476,7,1,1,36,1,4,4,27.4,1,1,15–30 km,81K-90K,36-40
128,47,Male,IT,Software Engineer,27353,9,6,4,22,0,4,2,47.2,29,0,30+km,15K-30K,21-25
129,23,Female,Sales,Sales Associate,38247,6,0,5,3,1,1,1,15.4,9,1,15–30 km,31K-40K,0-5
130,60,Male,IT,Software Engineer,99967,8,3,5,42,1,4,2,5.5,2,0,5–15 km,91K-100K,41-45
131,52,Other,Admin,Office Assistant,21175,8,6,2,18,0,5,3,33.9,21,0,30+km,15K-30K,16-20
132,26,Other,IT,Software Engineer,20043,4,2,2,23,1,5,1,7.8,5,1,5–15 km,15K-30K,21-25
133,47,Male,Admin,Office Assistant,53572,9,5,5,54,1,4,2,38.4,13,0,30+km,51K-60K,51-55
134,48,Other,Admin,Office Assistant,104331,10,8,2,54,0,4,4,26.5,21,1,15–30 km,101K-110K,51-55
135,26,Other,IT,Software Engineer,34392,1,1,2,0,1,2,1,27.4,19,0,15–30 km,31K-40K,0-5
136,60,Female,Sales,Sales Associate,65459,6,3,4,8,1,1,2,24.1,30,0,15–30 km,61K-70K,6-10
137,46,Other,Admin,Office Assistant,41102,9,5,3,10,1,5,4,14.6,14,1,5–15 km,41K-50K,6-10
138,26,Other,IT,Software Engineer,30811,3,0,2,53,0,4,3,46.4,10,1,30+km,31K-40K,51-55
139,57,Female,HR,HR Executive,38201,9,4,2,0,0,3,1,9.1,17,0,5–15 km,31K-40K,0-5
140,36,Male,Sales,Sales Associate,30790,6,2,1,43,0,2,1,37.1,28,1,30+km,31K-40K,41-45
141,26,Female,Admin,Office Assistant,98984,5,2,4,54,0,3,2,19.8,12,0,15–30 km,91K-100K,51-55
142,29,Male,Sales,Sales Associate,49558,4,3,1,30,1,3,4,25.0,4,1,15–30 km,41K-50K,26-30
143,46,Male,HR,HR Executive,34551,5,2,1,17,1,5,4,24.2,22,0,15–30 km,31K-40K,16-20
144,51,Female,Accounts,Accounts Officer,39510,1,0,1,33,1,4,4,4.7,1,0,0–5 km,31K-40K,31-35
145,51,Other,IT,Software Engineer,64789,9,0,5,44,0,5,4,44.2,15,0,30+km,61K-70K,41-45
146,31,Other,Sales,Sales Associate,98512,9,8,2,29,0,4,3,20.7,28,0,15–30 km,91K-100K,26-30
147,26,Male,Sales,Sales Associate,90698,3,1,4,8,1,3,4,2.8,22,0,0–5 km,91K-100K,6-10
148,50,Other,HR,HR Executive,51051,10,2,4,51,1,1,3,38.5,5,0,30+km,51K-60K,51-55
149,31,Other,IT,Software Engineer,84633,4,1,1,40,0,2,3,31.5,14,0,30+km,81K-90K,36-40
150,48,Female,Sales,Sales Associate,63387,8,3,2,10,1,4,3,4.1,27,1,0–5 km,61K-70K,6-10
151,35,Male,IT,Software Engineer,79825,9,9,5,34,1,4,1,23.3,20,1,15–30 km,71K-80K,31-35
152,60,Male,Accounts,Accounts Officer,89220,1,0,4,28,0,4,1,10.7,12,0,5–15 km,81K-90K,26-30
153,48,Female,Admin,Office Assistant,77734,5,5,3,54,1,5,1,22.6,9,1,15–30 km,71K-80K,51-55
154,36,Male,IT,Software Engineer,103036,6,4,3,47,1,5,3,27.0,10,1,15–30 km,101K-110K,46-50
155,33,Other,Admin,Office Assistant,40949,2,1,5,41,1,4,1,22.6,25,1,15–30 km,41K-50K,41-45
156,52,Male,Sales,Sales Associate,34436,9,5,4,11,0,2,3,14.4,17,0,5–15 km,31K-40K,11-15
157,29,Female,Sales,Sales Associate,87786,6,2,4,2,1,5,4,28.0,3,0,15–30 km,81K-90K,0-5
158,36,Female,HR,HR Executive,86437,4,4,5,57,1,5,1,43.8,28,1,30+km,81K-90K,56-60
159,23,Male,HR,HR Executive,21892,6,4,3,60,1,3,2,43.0,24,0,30+km,15K-30K,56-60
160,47,Female,Admin,Office Assistant,16791,2,2,2,9,0,1,2,46.9,5,1,30+km,15K-30K,6-10
161,30,Male,HR,HR Executive,68208,5,1,1,43,0,1,2,48.1,25,1,30+km,61K-70K,41-45
162,50,Other,Sales,Sales Associate,69886,6,6,3,59,1,1,3,42.8,0,0,30+km,61K-70K,56-60
163,38,Female,HR,HR Executive,68089,2,0,2,2,1,2,3,14.7,25,1,5–15 km,61K-70K,0-5
164,57,Female,Sales,Sales Associate,17129,6,6,3,34,0,5,4,49.1,30,0,30+km,15K-30K,31-35
165,53,Other,HR,HR Executive,111869,10,9,1,2,1,2,1,27.1,1,0,15–30 km,111K-120K,0-5
166,46,Female,HR,HR Executive,71534,5,4,2,38,1,4,1,43.6,6,1,30+km,71K-80K,36-40
167,56,Other,Accounts,Accounts Officer,116633,10,0,1,38,1,2,3,5.3,23,1,5–15 km,111K-120K,36-40
168,47,Female,Sales,Sales Associate,15646,4,4,2,20,1,1,1,27.0,25,0,15–30 km,15K-30K,16-20
169,43,Male,Accounts,Accounts Officer,98063,6,6,3,40,1,5,4,1.4,2,0,0–5 km,91K-100K,36-40
170,31,Female,Accounts,Accounts Officer,76858,5,4,2,33,1,2,3,25.1,0,1,15–30 km,71K-80K,31-35
171,57,Other,HR,HR Executive,38546,9,4,2,55,1,1,2,18.6,3,0,15–30 km,31K-40K,51-55
172,51,Female,Accounts,Accounts Officer,99932,3,3,4,57,1,5,4,12.6,8,0,5–15 km,91K-100K,56-60
173,33,Female,IT,Software Engineer,34230,1,1,1,1,0,5,3,8.8,7,1,5–15 km,31K-40K,0-5
174,38,Other,IT,Software Engineer,74813,1,0,4,56,0,4,1,6.9,26,1,5–15 km,71K-80K,56-60
175,56,Other,Accounts,Accounts Officer,50872,2,0,5,50,1,5,1,29.9,26,1,15–30 km,51K-60K,46-50
176,23,Female,Admin,Office Assistant,54746,9,9,2,3,0,2,1,35.0,7,1,30+km,51K-60K,0-5
177,23,Female,Sales,Sales Associate,81358,3,1,5,34,0,2,3,41.2,13,0,30+km,81K-90K,31-35
178,38,Female,Admin,Office Assistant,89016,6,1,3,47,0,3,2,43.5,19,0,30+km,81K-90K,46-50
179,58,Female,Admin,Office Assistant,35985,6,3,4,56,1,4,4,24.2,2,0,15–30 km,31K-40K,56-60
180,58,Male,Admin,Office Assistant,71307,6,0,3,28,0,1,3,11.4,23,0,5–15 km,71K-80K,26-30
181,57,Other,IT,Software Engineer,118002,9,3,3,53,0,3,1,15.8,2,0,15–30 km,111K-120K,51-55
182,53,Male,Admin,Office Assistant,25430,8,1,2,42,0,4,2,42.3,6,0,30+km,15K-30K,41-45
183,32,Female,Accounts,Accounts Officer,20517,5,1,2,4,0,2,2,5.4,10,1,5–15 km,15K-30K,0-5
184,44,Female,HR,HR Executive,55112,5,5,4,57,0,2,1,9.2,16,0,5–15 km,51K-60K,56-60
185,51,Other,Accounts,Accounts Officer,21481,5,4,5,38,0,5,1,7.0,29,0,5–15 km,15K-30K,36-40
186,50,Female,Admin,Office Assistant,50681,2,2,5,35,0,3,4,39.3,16,0,30+km,51K-60K,31-35
187,35,Other,Sales,Sales Associate,109845,4,3,3,9,0,4,3,37.3,26,0,30+km,101K-110K,6-10
188,33,Male,HR,HR Executive,48419,3,0,1,17,0,3,2,8.7,24,0,5–15 km,41K-50K,16-20
189,37,Other,Admin,Office Assistant,36753,2,0,1,14,0,5,1,42.6,7,0,30+km,31K-40K,11-15
190,38,Female,HR,HR Executive,70942,5,5,5,17,0,1,1,43.5,5,0,30+km,71K-80K,16-20
191,41,Male,Admin,Office Assistant,19565,4,3,2,28,0,5,1,45.7,4,1,30+km,15K-30K,26-30
192,29,Female,Admin,Office Assistant,63890,9,1,3,13,0,2,4,5.6,1,0,5–15 km,61K-70K,11-15
193,23,Female,IT,Software Engineer,35708,7,3,1,39,1,1,4,17.0,25,0,15–30 km,31K-40K,36-40
194,33,Female,Sales,Sales Associate,95674,5,1,3,40,0,3,2,23.5,18,0,15–30 km,91K-100K,36-40
195,27,Other,Accounts,Accounts Officer,111446,9,9,4,8,1,4,4,38.8,25,0,30+km,111K-120K,6-10
196,38,Male,HR,HR Executive,73119,4,0,1,4,1,1,4,44.7,2,1,30+km,71K-80K,0-5
197,22,Male,Accounts,Accounts Officer,52988,9,8,3,1,1,1,4,35.9,8,0,30+km,51K-60K,0-5
198,52,Other,Admin,Office Assistant,57581,2,0,5,46,1,5,4,22.4,14,0,15–30 km,51K-60K,46-50
199,47,Other,Accounts,Accounts Officer,59182,10,7,5,24,0,3,2,45.6,13,0,30+km,51K-60K,21-25
200,43,Other,HR,HR Executive,95844,10,10,5,47,0,3,4,17.7,11,0,15–30 km,91K-100K,46-50
201,53,Other,HR,HR Executive,68987,3,3,3,39,1,4,2,5.5,0,1,5–15 km,61K-70K,36-40
202,40,Other,HR,HR Executive,60645,3,0,1,18,1,5,4,42.9,9,0,30+km,61K-70K,16-20
203,60,Female,Accounts,Accounts Officer,82056,6,3,5,43,0,3,1,28.9,10,0,15–30 km,81K-90K,41-45
204,24,Male,HR,HR Executive,78196,3,3,1,44,1,2,3,43.7,12,0,30+km,71K-80K,41-45
205,33,Other,IT,Software Engineer,22151,2,2,2,0,1,3,3,13.9,13,0,5–15 km,15K-30K,0-5
206,54,Male,IT,Software Engineer,112892,6,5,4,44,0,4,4,20.5,22,0,15–30 km,111K-120K,41-45
207,32,Male,IT,Software Engineer,27333,2,2,3,58,0,2,1,10.0,26,0,5–15 km,15K-30K,56-60
208,36,Male,IT,Software Engineer,106757,6,3,5,15,0,1,4,30.1,19,0,30+km,101K-110K,11-15
209,32,Female,Sales,Sales Associate,115599,10,0,4,28,1,1,1,48.8,28,1,30+km,111K-120K,26-30
210,23,Other,Sales,Sales Associate,40406,7,7,4,44,0,1,3,15.6,3,0,15–30 km,41K-50K,41-45
211,36,Other,Admin,Office Assistant,87239,5,3,4,35,1,5,4,10.4,12,0,5–15 km,81K-90K,31-35
212,57,Other,Accounts,Accounts Officer,47849,9,4,2,7,0,5,3,33.9,17,1,30+km,41K-50K,6-10
213,41,Male,Admin,Office Assistant,85154,5,4,1,58,0,1,2,1.8,11,1,0–5 km,81K-90K,56-60
214,42,Male,Accounts,Accounts Officer,54611,2,1,2,25,0,5,1,45.9,10,0,30+km,51K-60K,21-25
215,53,Male,Sales,Sales Associate,30634,7,6,1,12,1,5,2,28.5,27,0,15–30 km,31K-40K,11-15
216,37,Other,Admin,Office Assistant,81088,10,1,5,51,1,1,1,35.1,16,1,30+km,81K-90K,51-55
217,22,Female,Accounts,Accounts Officer,37175,4,0,4,35,0,2,1,26.5,30,1,15–30 km,31K-40K,31-35
218,30,Female,HR,HR Executive,54446,4,3,4,17,1,1,1,7.5,25,1,5–15 km,51K-60K,16-20
219,53,Female,Sales,Sales Associate,68712,9,4,1,48,0,2,4,1.7,4,1,0–5 km,61K-70K,46-50
220,42,Female,IT,Software Engineer,36179,3,2,2,20,0,1,1,40.9,26,1,30+km,31K-40K,16-20
221,37,Other,Accounts,Accounts Officer,83768,4,0,1,19,1,2,1,47.3,21,1,30+km,81K-90K,16-20
222,44,Male,Accounts,Accounts Officer,117304,5,5,1,10,1,3,1,27.5,29,1,15–30 km,111K-120K,6-10
223,35,Female,Admin,Office Assistant,112692,7,6,4,28,1,5,4,35.1,3,0,30+km,111K-120K,26-30
224,42,Male,Sales,Sales Associate,71675,7,2,4,30,0,4,3,10.1,26,0,5–15 km,71K-80K,26-30
225,36,Female,IT,Software Engineer,72334,5,5,3,6,1,5,3,35.0,12,0,30+km,71K-80K,6-10
226,51,Female,HR,HR Executive,29037,8,2,5,1,0,2,4,13.2,14,0,5–15 km,15K-30K,0-5
227,53,Female,Accounts,Accounts Officer,60897,8,6,4,46,0,1,2,7.9,30,1,5–15 km,61K-70K,46-50
228,25,Male,IT,Software Engineer,114514,4,4,5,59,1,4,1,31.8,27,0,30+km,111K-120K,56-60
229,57,Female,HR,HR Executive,111311,1,0,2,36,1,4,2,14.0,14,0,5–15 km,111K-120K,36-40
230,46,Male,IT,Software Engineer,99691,3,3,2,21,0,1,1,2.0,27,1,0–5 km,91K-100K,21-25
231,41,Male,HR,HR Executive,117468,1,0,1,39,0,5,1,43.3,23,0,30+km,111K-120K,36-40
232,29,Other,Sales,Sales Associate,44208,9,4,1,26,0,1,3,42.7,4,1,30+km,41K-50K,26-30
233,41,Other,HR,HR Executive,33926,7,6,5,19,1,5,4,15.4,10,0,15–30 km,31K-40K,16-20
234,28,Other,Sales,Sales Associate,73684,6,2,5,17,0,1,3,22.0,24,1,15–30 km,71K-80K,16-20
235,24,Other,Accounts,Accounts Officer,38705,6,6,5,3,1,2,3,12.0,19,0,5–15 km,31K-40K,0-5
236,22,Male,Admin,Office Assistant,36928,4,3,4,51,0,5,4,46.1,10,0,30+km,31K-40K,51-55
